City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,coquimbo,-29.9533,-71.3436,12.85,87,100,3.09,CL,1694136196
84,ribeira grande,38.5167,-28.7,20.99,80,91,2.68,PT,1694136530
85,galveston,29.3669,-94.9669,33.06,73,0,4.63,US,1694136530
86,badger,64.8,-147.5333,12.21,59,75,0.0,US,1694136531
87,hithadhoo,-0.6,73.0833,27.64,76,89,4.56,MV,1694136531
88,carnarvon,-24.8667,113.6333,22.34,34,0,6.29,AU,1694136531
89,kulhudhuffushi,6.6221,73.07,27.64,77,95,5.47,MV,1694136532
90,glendive,47.1053,-104.7125,24.79,25,0,5.14,US,1694136532
91,tazovsky,67.4667,78.7,6.57,63,14,1.47,RU,1694136532
92,stanley,54.868,-1.6985,14.33,94,94,0.51,GB,1694136533
93,lerwick,60.1545,-1.1494,15.0,96,100,6.03,GB,1694136533
94,diyadin,39.5406,43.6713,13.44,69,0,1.13,TR,1694136534
95,qaqortoq,60.7167,-46.0333,5.02,64,0,13.38,GL,1694136534
96,zouerate,22.7187,-12.4521,33.6,34,99,4.93,MR,1694136534
97,fort bragg,35.139,-79.006,28.91,70,75,3.6,US,1694136276
98,itamaraca,-7.7478,-34.8256,24.03,87,15,4.66,BR,1694136535
99,duba,27.3513,35.6901,34.53,30,0,5.39,SA,1694136536
100,quellon,-43.1167,-73.6167,8.14,93,100,1.03,CL,1694136536
101,capitao poco,-1.7464,-47.0594,23.49,85,13,2.74,BR,1694136536
102,ataq,14.5377,46.8319,24.44,66,3,2.41,YE,1694136537
103,quiruvilca,-7.9667,-78.2,6.93,70,99,1.31,PE,1694136537
104,dunedin,-45.8742,170.5036,16.15,49,0,4.59,NZ,1694136538
105,taulaga,-11.0553,-171.0883,27.54,76,95,2.85,AS,1694136539
106,iqaluit,63.7506,-68.5145,2.85,87,75,4.63,CA,1694136539
107,mount gambier,-37.8333,140.7667,7.77,73,100,9.44,AU,1694136540
108,whitehorse,60.7161,-135.0538,13.43,54,100,7.15,CA,1694136246
109,minas de marcona,-15.2119,-75.1103,12.4,88,63,6.66,PE,1694136541
110,kotel'nikovo,47.6317,43.1461,11.9,52,0,3.38,RU,1694136541
111,sinabang,2.4803,96.3801,27.01,78,99,0.61,ID,1694136541
112,dul'durga,50.6761,113.5931,14.01,50,100,4.13,RU,1694136542
113,greymouth,-42.4667,171.2,14.12,62,0,2.56,NZ,1694136542
114,afaahiti,-17.75,-149.2833,26.93,78,13,6.69,PF,1694136543
115,zintan,31.9223,12.252,18.37,80,0,3.89,LY,1694136543
116,port saint john's,-31.6229,29.5448,17.57,50,86,1.51,ZA,1694136543
117,kattivakkam,13.2167,80.3167,26.05,94,100,6.27,IN,1694136544
118,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,53,75,8.0,RU,1694136544
119,puerto ayora,-0.7393,-90.3518,23.08,97,69,1.79,EC,1694136545
120,vadso,70.0744,29.7487,9.49,87,75,1.54,NO,1694136545
121,homestead meadows north,31.8496,-106.1729,37.71,15,20,2.57,US,1694136546
122,enewetak,11.3474,162.3373,28.53,72,7,1.76,MH,1694136546
123,ta'if,21.2703,40.4158,24.56,16,12,1.86,SA,1694136547
124,fortuna,40.5982,-124.1573,19.4,67,0,6.17,US,1694136547
125,bakanas,44.8081,76.2772,19.82,33,100,4.57,KZ,1694136547
126,placido de castro,-10.3353,-67.1856,28.75,32,5,0.63,BR,1694136548
127,port alfred,-33.5906,26.891,13.9,79,73,1.35,ZA,1694136548
128,kodiak,57.79,-152.4072,11.73,58,100,2.57,US,1694136549
129,qoryooley,1.7878,44.53,24.32,75,7,4.96,SO,1694136549
130,bethel,41.3712,-73.414,27.2,72,75,3.6,US,1694136370
131,pangody,65.85,74.4859,6.76,54,7,1.08,RU,1694136550
132,tugulym,57.0591,64.6425,9.07,79,10,2.43,RU,1694136550
133,wasco,35.5941,-119.341,34.68,22,0,2.06,US,1694136551
134,port blair,11.6667,92.75,26.02,94,75,1.54,IN,1694136551
135,belmonte,-15.8631,-38.8828,22.44,78,6,4.13,BR,1694136551
136,aasiaat,68.7098,-52.8699,2.3,93,100,9.16,GL,1694136552
137,kibre mengist,5.8833,38.9833,13.48,94,53,0.6,ET,1694136552
138,sitka,57.0531,-135.33,13.94,77,100,4.63,US,1694136552
139,howard springs,-12.497,131.047,31.01,40,30,1.15,AU,1694136553
140,feijo,-8.1642,-70.3536,27.59,41,29,0.32,BR,1694136554
141,antri,26.0567,78.2144,25.94,86,100,2.65,IN,1694136554
142,east ballina,-28.8667,153.5833,26.0,56,0,7.17,AU,1694136555
143,irymple,-34.25,142.1667,12.83,59,98,1.79,AU,1694136555
144,chiredzi,-21.05,31.6667,17.85,66,12,1.68,ZW,1694136555
145,usogorsk,63.4106,48.6872,9.65,98,100,3.21,RU,1694136556
146,olyokminsk,60.3736,120.4264,4.18,70,95,4.76,RU,1694136556
147,sorong,-0.8833,131.25,27.03,84,99,5.62,ID,1694136557
148,gidam,18.9833,81.4,23.18,98,100,1.87,IN,1694136557
149,vorkuta,67.5,64.0,9.8,75,100,1.95,RU,1694136557
150,wajir,1.7471,40.0573,24.31,65,0,6.3,KE,1694136558
151,broome,42.2506,-75.833,20.47,96,40,2.57,US,1694136558
152,forio,40.7342,13.8646,25.24,68,75,0.89,IT,1694136559
153,weno,7.4515,151.8468,30.97,74,40,2.57,FM,1694136559
154,steamboat springs,40.485,-106.8317,24.31,20,0,1.54,US,1694136560
155,mo i rana,66.3128,14.1428,13.51,93,100,1.54,NO,1694136560
156,beau vallon,-20.4189,57.6953,21.23,88,75,1.54,MU,1694136560
157,nuuk,64.1835,-51.7216,3.34,93,100,0.51,GL,1694136466
158,valparaiso,-33.0393,-71.6273,14.15,67,75,2.57,CL,1694136561
159,hawaiian paradise park,19.5933,-154.9731,28.73,73,40,4.63,US,1694136562
160,sur,22.5667,59.5289,27.05,69,72,4.29,OM,1694136562
161,uzgen,40.7699,73.3007,20.16,27,100,2.48,KG,1694136562
162,callaway,30.153,-85.5699,29.39,78,0,4.63,US,1694136563
163,pariaman,-0.619,100.12,26.03,77,100,0.98,ID,1694136563
164,estevan,49.1334,-102.9842,21.23,60,0,4.12,CA,1694136299
165,happy valley-goose bay,53.3168,-60.3315,6.17,93,100,4.63,CA,1694136494
166,puerto deseado,-47.7503,-65.8938,7.76,80,100,3.09,AR,1694136564
167,harran,36.86,39.0314,23.67,67,0,2.58,TR,1694136565
168,nemuro,43.3236,145.575,16.27,67,0,1.76,JP,1694136565
169,sao luiz gonzaga,-28.4083,-54.9608,19.29,99,100,5.0,BR,1694136487
170,papatowai,-46.5619,169.4708,15.6,51,0,3.5,NZ,1694136566
171,tiksi,71.6872,128.8694,3.04,90,100,8.86,RU,1694136566
172,jennings,38.7192,-90.2604,23.01,65,20,1.54,US,1694136567
173,bazarnyye mataki,54.8833,49.9333,5.89,96,30,3.19,RU,1694136567
174,la ronge,55.1001,-105.2842,14.14,67,40,2.57,CA,1694136567
175,mugia,43.1041,-9.2179,19.95,91,17,3.27,ES,1694136568
176,lebu,-37.6167,-73.65,10.04,89,100,1.37,CL,1694136568
177,anloga,5.7947,0.8973,25.25,90,16,6.09,GH,1694136569
178,villa gesell,-37.2639,-56.973,12.25,99,100,4.73,AR,1694136569
179,st. john's,47.5649,-52.7093,20.38,96,100,4.63,CA,1694136546
180,lihue,21.9789,-159.3672,28.77,65,0,6.17,US,1694136570
181,ilulissat,69.2167,-51.1,4.01,93,100,4.63,GL,1694136570
182,keflavik,64.0049,-22.5624,11.95,100,100,12.86,IS,1694136571
183,touros,-5.1989,-35.4608,25.05,80,6,6.85,BR,1694136571
184,urangan,-25.3,152.9,22.38,76,18,2.19,AU,1694136572
185,gizo,-8.103,156.8419,27.12,82,100,5.28,SB,1694136572
186,tura,25.5198,90.2201,24.48,93,100,1.86,IN,1694136572
187,rio grande,-32.035,-52.0986,15.53,97,100,11.64,BR,1694136573
188,koshki,54.2091,50.4677,5.47,97,12,2.78,RU,1694136573
189,changyon,38.2508,125.0961,25.71,68,31,1.21,KP,1694136574
190,palikir - national government center,6.9248,158.1611,31.41,70,75,4.12,FM,1694136574
191,mutuali,-14.8706,37.0044,18.83,63,1,1.34,MZ,1694136574
192,polyarnyy,69.1989,33.4478,7.68,84,86,4.84,RU,1694136575
193,la passe,45.5549,-0.8967,22.13,54,31,2.54,FR,1694136576
194,ayr,55.4627,-4.6339,17.99,94,0,2.06,GB,1694136576
195,ketchikan,55.3422,-131.6461,13.92,85,96,2.17,US,1694136576
196,ancud,-41.8697,-73.8203,8.46,86,100,4.33,CL,1694136577
197,road town,18.4167,-64.6167,29.05,70,40,4.63,VG,1694136454
198,choma,-16.8065,26.9531,17.04,37,0,1.69,ZM,1694136577
199,gwadar,25.1216,62.3254,25.95,86,14,4.09,PK,1694136578
200,san patricio,28.017,-97.5169,31.77,57,0,5.61,US,1694136578
201,ar ruways,24.1103,52.7306,31.88,50,0,4.71,AE,1694136579
202,vorgashor,67.5833,63.95,9.72,75,100,2.05,RU,1694136579
203,dryden,49.7833,-92.7503,11.16,82,0,2.06,CA,1694136579
204,nelson bay,-32.7167,152.15,17.83,74,100,8.05,AU,1694136580
205,santana,-0.0583,-51.1817,29.1,70,40,9.26,BR,1694136479
206,kpandu,6.9954,0.2931,23.64,93,17,2.98,GH,1694136580
207,gorontalo,0.5412,123.0595,30.73,46,13,2.09,ID,1694136581
208,lionel town,17.8101,-77.2406,28.94,80,98,1.53,JM,1694136581
209,katsuren-haebaru,26.3369,127.8719,29.43,80,40,4.63,JP,1694136582
210,iskushuban,10.2837,50.23,27.05,69,7,7.97,SO,1694136582
211,naze,28.3667,129.4833,26.51,75,100,1.88,JP,1694136583
212,iwon-up,40.3231,128.6553,23.42,73,10,1.89,KP,1694136583
213,gobabis,-22.45,18.9667,17.98,17,100,3.01,NA,1694136584
214,korla,41.7597,86.1469,23.42,29,8,3.09,CN,1694136584
215,rongelap,11.1635,166.8941,28.72,74,46,3.86,MH,1694136584
216,brezina,33.0989,1.2608,26.18,34,37,2.82,DZ,1694136585
217,yanchep,-31.55,115.6833,17.29,40,8,7.1,AU,1694136585
218,somotillo,13.0433,-86.9064,27.54,77,100,1.21,NI,1694136586
219,codrington,-38.2667,141.9667,8.03,89,100,17.02,AU,1694136586
220,toliara,-23.35,43.6667,18.31,84,0,5.19,MG,1694136586
221,fort mcmurray,56.7268,-111.381,15.77,67,40,2.06,CA,1694136587
222,lobujya,27.95,86.8167,3.16,87,100,1.24,NP,1694136587
223,askino,56.0901,56.5783,10.81,98,100,1.37,RU,1694136588
